plan,departement,commune,adresse,date_vente,annee_construction,nb_pieces,etage,surface_carrez,surface_utile,prix,prix_surface_carrez,prix_surface_utile
6,86,CHATELLERAULT,4 BD FELIX FAURE,06/10/2020,1967,4,3,,75,45000,,"600,00"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,11/09/2020,2007,2,0,48,48,71500,"1501,79","1489,58"
26,86,CHATELLERAULT,22 RUE SAINT JEAN,11/09/2020,1900,3,1,62,66,48400,"784,44","733,33"
4,86,CHATELLERAULT,52 RUE CHANOINE VILLENEUVE,04/09/2020,1982,3,1,78,79,79000,"1019,35","1000,00"
24,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,31/08/2020,1974,2,5,44,44,50000,"1143,38","1136,36"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/08/2020,2005,3,1,,54,65000,,"1203,70"
14,86,CHATELLERAULT,15 B AV MARECHAL FOCH,18/08/2020,1990,2,2,,31,34000,,"1096,77"
8,86,CHATELLERAULT,11 RUE GUILLEMOT,19/06/2020,1982,2,2,,50,45500,,"910,00"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,18/06/2020,1979,2,1,,56,56000,,"1000,00"
21,86,CHATELLERAULT,34 AV PIERRE ABELIN,05/06/2020,1964,4,3,,72,40000,,"555,56"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,29/05/2020,2005,3,2,,62,68200,,"1100,00"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,29/05/2020,2005,3,2,,62,71500,,"1153,23"
5,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,26/05/2020,1980,1,7,,27,28000,,"1037,04"
6,86,CHATELLERAULT,8 BD FELIX FAURE,25/05/2020,1967,3,4,,66,71000,,"1075,76"
16,86,CHATELLERAULT,14 RUE MAURICE BEDEL,22/05/2020,1975,3,4,,69,105000,,"1521,74"
15,86,CHATELLERAULT,13 AV MARECHAL LECLERC,20/05/2020,1973,4,1,,78,70000,,"897,44"
22,86,CHATELLERAULT,40 AV PIERRE ABELIN,18/05/2020,1971,3,8,,65,87000,,"1338,46"
11,86,CHATELLERAULT,25 RUE GUILLEMOT,14/05/2020,1965,2,3,,49,57000,,"1163,27"
9,86,CHATELLERAULT,21 RUE GUILLEMOT,13/05/2020,1964,4,4,,70,50000,,"714,29"
24,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,06/05/2020,1974,2,2,,44,40000,,"909,09"
14,86,CHATELLERAULT,13 AV MARECHAL FOCH,04/05/2020,1981,1,2,,26,41000,,"1576,92"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,14/04/2020,2007,2,0,,48,65000,,"1354,17"
18,86,CHATELLERAULT,17 RUE DES MOULINS,17/03/2020,1982,3,2,,73,83500,,"1143,84"
21,86,CHATELLERAULT,34 AV PIERRE ABELIN,12/03/2020,1964,4,1,,72,40000,,"555,56"
12,86,CHATELLERAULT,2 QUAI DU HUIT MAI,10/03/2020,1980,1,0,30,30,32500,"1089,51","1083,33"
13,86,CHATELLERAULT,39 RUE JEANNE D'ARC,10/03/2020,1994,1,0,,26,28500,,"1096,15"
25,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,06/03/2020,2001,3,2,72,72,83000,"1154,22","1152,78"
23,86,CHATELLERAULT,48 AV PIERRE ABELIN,03/03/2020,1966,3,2,64,63,36560,"567,44","580,32"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,27/02/2020,1965,2,0,,44,41000,,"931,82"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,18/02/2020,2007,2,0,48,48,71500,"1479,41","1489,58"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,14/02/2020,1965,4,0,,74,75000,,"1013,51"
25,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,13/02/2020,2001,3,2,,71,110000,,"1549,30"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,11/02/2020,1985,3,1,,69,35000,,"507,25"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,07/02/2020,2007,2,1,,48,74000,,"1541,67"
3,86,CHATELLERAULT,76 BD BLOSSAC,07/02/2020,2006,3,1,75,74,81953,"1093,87","1107,47"
15,86,CHATELLERAULT,13 AV MARECHAL LECLERC,06/02/2020,1973,3,2,68,69,45000,"665,68","652,17"
5,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,31/01/2020,1980,1,4,,27,20000,,"740,74"
19,86,CHATELLERAULT,13 RUE DE LA PAIX,31/01/2020,1981,1,5,,36,36500,,"1013,89"
20,86,CHATELLERAULT,32 AV PIERRE ABELIN,20/01/2020,1965,4,3,,68,56000,,"823,53"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,16/01/2020,2005,2,2,,48,50000,,"1041,67"
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,07/01/2020,1975,3,5,,59,40000,,"677,97"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,27/12/2019,2007,2,0,,48,70000,,"1458,33"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,23/12/2019,2007,2,1,54,55,78000,"1432,77","1418,18"
7,86,CHATELLERAULT,4 RUE JULES DUVAU,19/12/2019,1979,2,0,,56,58000,,"1035,71"
5,86,CHATELLERAULT,4 RUE JULES DUVAU,19/12/2019,1979,2,0,,56,58000,,"1035,71"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,18/12/2019,2007,2,2,48,48,60000,"1257,60","1250,00"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,18/12/2019,2007,2,1,47,48,66000,"1391,82","1375,00"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,2,,54,53000,,"981,48"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,1,,62,60000,,"967,74"
16,86,CHATELLERAULT,8 RUE SAINT ROMAIN,15/11/2019,1972,3,1,,58,70000,,"1206,90"
13,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
13,86,CHATELLERAULT,42 AV PIERRE ABELIN,14/11/2019,1966,4,1,,74,39560,,"534,59"
17,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,13/11/2019,2007,2,0,48,48,53000,"1094,14","1104,17"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,12/11/2019,2007,2,0,48,48,55000,"1151,35","1145,83"
15,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,23/10/2019,2001,3,0,74,69,87500,"1177,98","1268,12"
11,86,CHATELLERAULT,37 AV PIERRE ABELIN,11/10/2019,1960,3,0,57,57,37000,"646,97","649,12"
2,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,08/10/2019,1980,2,5,,71,56000,,"788,73"
4,86,CHATELLERAULT,6 RUE GABRIEL FAURE,07/10/2019,1965,3,3,,57,27000,,"473,68"
7,86,CHATELLERAULT,13 AV MARECHAL LECLERC,04/10/2019,1973,3,1,,69,63000,,"913,04"
6,86,CHATELLERAULT,13 AV MARECHAL FOCH,18/09/2019,1981,1,2,,26,23000,,"884,62"
7,86,CHATELLERAULT,13 RUE DE LA PAIX,18/09/2019,1981,1,1,22,21,19000,"883,72","904,76"
6,86,CHATELLERAULT,13 AV MARECHAL FOCH,18/09/2019,1981,1,2,,26,23000,,"884,62"
10,86,CHATELLERAULT,13 RUE DE LA PAIX,18/09/2019,1981,1,1,22,21,19000,"883,72","904,76"
9,86,CHATELLERAULT,36 AV MARECHAL LECLERC,13/09/2019,1992,2,1,,47,50000,,"1063,83"
8,86,CHATELLERAULT,36 AV MARECHAL LECLERC,13/09/2019,1992,2,1,,47,50000,,"1063,83"
18,86,CHATELLERAULT,14 AV ADRIEN TREUILLE,04/09/2019,1968,3,1,,79,68000,,"860,76"
3,86,CHATELLERAULT,4 BD FELIX FAURE,02/09/2019,1967,3,1,,66,70000,,"1060,61"
11,86,CHATELLERAULT,35 AV PIERRE ABELIN,30/08/2019,1960,3,1,,57,42000,,"736,84"
8,86,CHATELLERAULT,15 AV MARECHAL FOCH,29/08/2019,1982,2,1,,47,49000,,"1042,55"
6,86,CHATELLERAULT,15 AV MARECHAL FOCH,29/08/2019,1982,2,1,,47,49000,,"1042,55"
12,86,CHATELLERAULT,36 AV PIERRE ABELIN,23/08/2019,1964,4,1,68,68,42060,"615,18","618,53"
3,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,22/08/2019,1980,2,2,53,53,48000,"906,52","905,66"
2,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,22/08/2019,1980,2,2,53,53,48000,"906,52","905,66"
4,86,CHATELLERAULT,4 RUE GABRIEL FAURE,21/08/2019,1965,3,4,59,57,28000,"477,73","491,23"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,09/08/2019,2005,3,2,63,63,90500,"1447,54","1436,51"
14,86,CHATELLERAULT,16 RUE RAYMOND PITET,30/07/2019,1975,4,7,72,72,72000,"995,71","1000,00"
11,86,CHATELLERAULT,41 AV PIERRE ABELIN,24/07/2019,1960,3,4,,57,51000,,"894,74"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,22/07/2019,2007,2,0,,55,72000,,"1309,09"
1,86,CHATELLERAULT,88 BD BLOSSAC,10/07/2019,1850,3,0,,45,45000,,"1000,00"
2,86,NEUVILLE-DE-POITOU,24 RUE DES LILAS,09/07/2019,2003,2,2,,40,85500,,"2137,50"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/06/2019,2005,2,1,48,49,38000,"787,08","775,51"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/06/2019,2005,2,1,48,49,38000,"787,08","775,51"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,27/06/2019,1979,2,3,,56,46000,,"821,43"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,27/06/2019,1979,2,3,,56,46000,,"821,43"
1,86,CHATELLERAULT,54 RUE AIME RASSETEAU,25/06/2019,1985,1,1,33,33,34500,"1045,45","1045,45"
1,86,CHATELLERAULT,54 RUE AIME RASSETEAU,25/06/2019,1985,1,1,33,33,34500,"1045,45","1045,45"
15,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,25/06/2019,1974,3,1,62,62,60000,"964,48","967,74"
12,86,CHATELLERAULT,32 AV PIERRE ABELIN,21/06/2019,1965,4,2,,68,55000,,"808,82"
7,86,CHATELLERAULT,13 RUE DE LA PAIX,17/06/2019,1981,1,4,,37,35000,,"945,95"
10,86,CHATELLERAULT,13 RUE DE LA PAIX,17/06/2019,1981,1,4,,37,35000,,"945,95"
3,86,CHATELLERAULT,5 RUE DE LA CROIX ROUGE,29/05/2019,1979,2,4,,53,40000,,"754,72"
3,86,CHATELLERAULT,5 RUE DE LA CROIX ROUGE,29/05/2019,1979,2,4,,53,40000,,"754,72"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/05/2019,2004,2,2,,58,65000,,"1120,69"
16,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/05/2019,2004,2,2,,58,65000,,"1120,69"
14,86,CHATELLERAULT,26 AV ADRIEN TREUILLE,27/05/2019,1997,2,1,,56,90000,,"1607,14"
17,86,CHATELLERAULT,26 AV ADRIEN TREUILLE,27/05/2019,1997,2,1,,56,90000,,"1607,14"
18,86,CHATELLERAULT,47 BD VICTOR HUGO,24/05/2019,1964,3,2,,72,75000,,"1041,67"
3,86,CHATELLERAULT,11 RUE GUILLEMOT,13/05/2019,1982,1,3,,24,30000,,"1250,00"
6,86,CHATELLERAULT,11 RUE GUILLEMOT,13/05/2019,1982,1,3,,24,30000,,"1250,00"
7,86,CHATELLERAULT,19 RUE GUILLEMOT,10/05/2019,1964,3,4,,60,31000,,"516,67"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,02/05/2019,2005,3,1,54,54,50000,"927,47","925,93"
5,86,CHATELLERAULT,38 B AV GEORGES CLEMENCEAU,19/04/2019,1990,3,0,75,83,77434,"1034,94","932,94"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/04/2019,2004,2,2,47,46,69500,"1468,41","1510,87"
16,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/04/2019,2004,2,2,47,46,69500,"1468,41","1510,87"
9,86,CHATELLERAULT,36 AV MARECHAL LECLERC,29/03/2019,1992,2,3,,57,82000,,"1438,60"
8,86,CHATELLERAULT,36 AV MARECHAL LECLERC,29/03/2019,1992,2,3,,57,82000,,"1438,60"
14,86,CHATELLERAULT,44 AV PIERRE ABELIN,20/03/2019,1966,4,2,77,74,48000,"624,76","648,65"
7,86,CHATELLERAULT,21 RUE GUILLEMOT,14/03/2019,1964,4,3,,75,43000,,"573,33"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,11/03/2019,2005,3,0,,52,40500,,"778,85"
4,86,CHATELLERAULT,8 BD FELIX FAURE,01/03/2019,1967,3,5,,66,75000,,"1136,36"
7,86,CHATELLERAULT,21 RUE GUILLEMOT,19/02/2019,1964,3,2,,57,41000,,"719,30"
13,86,CHATELLERAULT,36 AV PIERRE ABELIN,18/02/2019,1964,4,1,72,68,42500,"588,89","625,00"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,12/02/2019,1985,2,4,,46,48000,,"1043,48"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,12/02/2019,2005,2,1,48,49,55000,"1136,13","1122,45"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,12/02/2019,1985,2,4,,46,48000,,"1043,48"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,12/02/2019,2005,2,1,48,49,55000,"1136,13","1122,45"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,01/02/2019,2005,3,1,54,54,55000,"1014,01","1018,52"
11,86,CHATELLERAULT,18 AV PIERRE ABELIN,29/01/2019,1978,3,1,63,62,50000,"793,65","806,45"
3,86,NEUVILLE-DE-POITOU,6 RUE VICTOR HUGO,17/01/2019,2018,3,1,61,60,158000,"2595,70","2633,33"
16,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,07/01/2019,2001,3,1,72,71,71000,"988,31","1000,00"
8,86,CHATELLERAULT,44 RUE MOZART,28/12/2018,1965,5,3,69,68,47000,"678,41","691,18"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,27/12/2018,2005,3,1,,54,55860,,"1034,44"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/12/2018,2005,3,0,,54,57980,,"1073,70"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,18/12/2018,2005,1,1,,28,29560,,"1055,71"
17,86,CHATELLERAULT,47 BD VICTOR HUGO,06/12/2018,1964,1,3,,35,26000,,"742,86"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,30/11/2018,2005,2,0,48,47,40000,"837,52","851,06"
13,86,CHATELLERAULT,8 RUE SAINT ROMAIN,07/11/2018,1972,2,4,,44,38000,,"863,64"
9,86,CHATELLERAULT,13 RUE DE LA PAIX,06/11/2018,1981,1,1,,34,21000,,"617,65"
10,86,CHATELLERAULT,18 AV PIERRE ABELIN,31/10/2018,1978,2,2,48,48,85000,"1764,22","1770,83"
14,86,CHATELLERAULT,8 RUE DU TABARY,26/10/2018,1975,4,4,80,79,69500,"864,54","879,75"
1,86,CHATELLERAULT,38 RUE DE L ANGELARDE,23/10/2018,1995,3,1,79,78,114000,"1450,94","1461,54"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,18/10/2018,2005,3,1,66,62,56000,"845,67","903,23"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,18/10/2018,2004,2,1,45,43,57200,"1277,64","1330,23"
16,86,CHATELLERAULT,24 AV ADRIEN TREUILLE,10/10/2018,1997,3,4,66,65,65000,"989,35","1000,00"
11,86,CHATELLERAULT,46 AV PIERRE ABELIN,03/10/2018,1966,4,2,71,75,44000,"618,67","586,67"
7,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/09/2018,2005,3,2,50,54,60000,"1199,04","1111,11"
15,86,CHATELLERAULT,14 AV ADRIEN TREUILLE,19/09/2018,1968,3,4,79,76,80000,"1016,39","1052,63"
13,86,CHATELLERAULT,8 RUE SAINT ROMAIN,05/09/2018,1972,3,2,68,68,78000,"1152,99","1147,06"
5,86,CHATELLERAULT,45 RUE GUILLEMOT,30/08/2018,2017,3,2,73,71,45000,"614,25","633,80"
2,86,CHATELLERAULT,22 RUE CAMILLE LEBEAU,23/08/2018,2009,3,2,80,80,140000,"1749,56","1750,00"
6,86,CHATELLERAULT,15 AV MARECHAL FOCH,23/08/2018,1982,1,1,29,27,40000,"1388,41","1481,48"
12,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,27/07/2018,2004,2,2,46,45,50000,"1097,94","1111,11"
4,86,CHATELLERAULT,17 RUE GUILLEMOT,24/07/2018,1963,4,3,,70,65000,,"928,57"
3,86,CHATELLERAULT,1 RUE CHANOINE VILLENEUVE,02/07/2018,2017,3,1,62,62,110000,"1772,48","1774,19"
14,86,CHATELLERAULT,11 AV MARECHAL LECLERC,25/06/2018,1973,2,1,41,41,53000,"1277,42","1292,68"
6,86,CHATELLERAULT,8 BD FELIX FAURE,22/06/2018,1967,4,1,75,75,42500,"567,20","566,67"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,14/06/2018,1965,4,0,,74,50000,,"675,68"
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,31/05/2018,1975,2,4,,46,28000,,"608,70"
3,86,CHATELLERAULT,52 RUE AIME RASSETEAU,29/05/2018,1985,3,2,,69,50000,,"724,64"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,29/05/2018,1974,2,3,,43,48000,,"1116,28"
18,86,CHATELLERAULT,13 RUE DE LA PAIX,23/05/2018,1981,1,5,33,35,33000,"999,09","942,86"
19,86,CHATELLERAULT,18 AV PIERRE ABELIN,23/05/2018,1978,1,1,,31,24000,,"774,19"
2,86,CHATELLERAULT,18 RUE ADRIENNE DUCHEMIN,14/05/2018,,3,0,,56,70000,,"1250,00"
8,86,CHATELLERAULT,11 RUE GUILLEMOT,30/04/2018,1982,2,3,,35,34000,,"971,43"
5,86,CHATELLERAULT,1 RUE DE LA CROIX ROUGE,27/04/2018,1979,2,3,,58,40000,,"689,66"
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,23/04/2018,1975,2,3,,46,45000,,"978,26"
11,86,CHATELLERAULT,27 RUE GUILLEMOT,23/04/2018,1965,3,3,,63,48000,,"761,90"
13,86,CHATELLERAULT,17 AV MARECHAL FOCH,20/04/2018,1981,4,2,,75,93500,,"1246,67"
4,86,CHATELLERAULT,38 RUE DE L ANGELARDE,12/04/2018,1995,2,2,,56,77500,,"1383,93"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,09/04/2018,1974,2,4,,44,45000,,"1022,73"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,05/04/2018,2004,2,1,57,57,63000,"1102,94","1105,26"
19,86,CHATELLERAULT,18 AV PIERRE ABELIN,27/03/2018,1978,2,2,48,48,100000,"2075,55","2083,33"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,26/03/2018,2005,2,1,52,51,49560,"958,24","971,76"
20,86,CHATELLERAULT,16 RUE RAYMOND PITET,23/03/2018,1975,3,2,63,62,77500,"1223,94","1250,00"
17,86,CHATELLERAULT,17 RUE DES MOULINS,21/03/2018,1800,2,1,,43,44000,,"1023,26"
21,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,17/03/2018,1974,2,6,,43,36000,,"837,21"
9,86,CHATELLERAULT,19 RUE GUILLEMOT,16/03/2018,1964,3,2,,60,45000,,"750,00"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,12/03/2018,2004,3,0,71,71,88000,"1240,14","1239,44"
3,86,CHATELLERAULT,52 RUE AIME RASSETEAU,01/03/2018,1985,2,0,35,34,30000,"868,81","882,35"
22,86,CHATELLERAULT,12 RUE DE LA ROSERAIE,28/02/2018,2004,2,2,72,70,75000,"1042,83","1071,43"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,19/02/2018,2005,3,2,63,63,69000,"1103,65","1095,24"
1,86,CHATELLERAULT,10 RUE ABEL ORILLARD,06/02/2018,1890,2,1,,39,31500,,"807,69"
12,86,CHATELLERAULT,2 QUAI DU HUIT MAI,05/02/2018,1980,1,2,,30,50000,,"1666,67"
15,86,CHATELLERAULT,39 AV MARECHAL LECLERC,26/01/2018,1977,1,1,36,36,32000,"900,90","888,89"
22,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,23/01/2018,2001,3,1,71,71,76000,"1073,14","1070,42"
16,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,11/01/2018,2005,3,2,63,62,60000,"958,31","967,74"
23,86,CHATELLERAULT,7 RUE DES SORBIERS,10/01/2018,2006,2,0,60,69,86990,"1455,90","1260,72"
